Ambient Temperature, Ambient Humidity, Soil Temperaure, Soil Moisture,
17.90,45.00,18.31,4095,
17.90,45.00,18.31,4095,
17.90,45.00,18.31,4095,
17.90,45.00,18.31,4095,
17.90,45.00,18.31,4095,
17.90,45.00,18.31,4095,
17.90,45.00,18.31,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.80,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.44,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
18.00,46.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.44,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.38,4095,
17.90,45.00,18.44,4095,
17.90,45.00,18.38,4095,
